Cell	nCount_Spatial	nFeature_Spatial	percent.mito	seurat_clusters	celltype	Cluster
60559038886300	9536	2764	6.522651	0	VZ+IZ	0
55405078130300	6425	1892	5.634241	2	oEGL	2
55405078131700	9234	2661	8.371237	0	VZ+IZ	0
63565515994700	7536	2372	7.125796	1	VZ+IZ	1
57982058510200	8783	2634	7.491745	5	VZ+IZ	5
62277025804600	9049	2704	6.741076	0	VZ+IZ	0
67001489832400	7442	2416	7.309863	0	VZ+IZ	0
70866960398600	6930	2389	7.532468	5	VZ+IZ	5
68719476747400	8619	2740	6.845342	0	VZ+IZ	0
74302934230800	6238	2065	6.604681	4	Chroid plexus	4
62277025801600	4224	1541	7.457386	4	Chroid plexus	4
68289980017000	8504	2478	10.159925	1	VZ+IZ	1
67001489830300	8268	2463	7.317368	5	VZ+IZ	5
68289980017800	8966	2718	6.825786	1	VZ+IZ	1
65712999644000	8153	2533	6.194039	0	VZ+IZ	0
62277025807200	8309	2690	6.511012	0	VZ+IZ	0
68719476746600	9714	2805	7.319333	1	VZ+IZ	1
70866960395000	8562	2555	8.222378	5	VZ+IZ	5
71725953853000	9044	2531	6.612119	4	Chroid plexus	4
71725953856600	8455	2597	5.842697	0	VZ+IZ	0
71725953858000	8194	2479	9.128631	3	iEGL	3
73873437501500	15827	3533	6.539458	2	oEGL	2
73873437504900	6760	2165	10.576923	1	VZ+IZ	1
74732430960500	8659	2605	6.906109	4	Chroid plexus	4
75591424421600	10354	3042	6.635117	6	Vessels	6
76450417880000	13722	3380	6.813876	9	oEGL	9
59700045429300	7795	2519	7.491982	0	VZ+IZ	0
53257594485700	15664	3786	7.635342	2	oEGL	2
53687091215600	2354	915	5.522515	3	iEGL	3
55834574862600	7576	2133	10.599261	1	VZ+IZ	1
56264071589200	7345	1980	6.562287	9	oEGL	9
57552561780200	8905	2681	8.208871	1	VZ+IZ	1
58411555238100	8084	2386	9.215735	1	VZ+IZ	1
59270548695300	6670	2056	6.311844	4	Chroid plexus	4
65283502915000	8280	2393	10.350242	3	iEGL	3
60129542159800	6469	2010	10.588963	3	iEGL	3
60988535618300	8069	2516	6.791424	0	VZ+IZ	0
60988535619400	8313	2527	7.013112	7	RL	7
61418032349000	5854	1980	7.208746	7	RL	7
62277025802200	11415	3169	5.790626	9	oEGL	9
51539607566000	17061	3642	7.877616	2	oEGL	2
63995012725000	7465	2394	8.024113	1	VZ+IZ	1
65283502914200	8753	2734	7.106135	0	VZ+IZ	0
66571993099200	9600	2894	6.15625	5	VZ+IZ	5
70437463670200	14681	3613	5.932838	7	RL	7
73014444044500	8952	2815	7.406166	0	VZ+IZ	0
58411555241100	6393	1954	12.028781	3	iEGL	3
55834574859400	3459	1104	6.33131	8	Epithelia	8
75161927693500	10201	2639	9.057935	2	oEGL	2
67430986563300	12091	3312	6.277396	7	RL	7
64854006181500	8015	2533	6.575172	5	VZ+IZ	5
68289980021900	7424	2260	10.775862	3	iEGL	3
68719476751200	7437	2383	9.519968	0	VZ+IZ	0
67430986563400	14912	3445	5.197157	7	RL	7
57123065050500	8698	2625	8.105312	1	VZ+IZ	1
71296457124100	8573	2566	10.929663	1	VZ+IZ	1
68289980018400	8477	2589	7.738587	0	VZ+IZ	0
